prop,age_group,sex,race
0.043432604,18-24,Male,White
0.041239713,18-24,Female,White
0.063363664,25-34,Male,White
0.060913716,25-34,Female,White
0.063907997,35-44,Male,White
0.061266256,35-44,Female,White
0.058321085,45-54,Male,White
0.05686632,45-54,Female,White
0.145470737,55+,Male,White
0.165094487,55+,Female,White
0.00874507,18-24,Male,Black
0.008604489,18-24,Female,Black
0.013428751,25-34,Male,Black
0.013461982,25-34,Female,Black
0.011466969,35-44,Male,Black
0.011686594,35-44,Female,Black
0.010073179,45-54,Male,Black
0.01024653,45-54,Female,Black
0.022226882,55+,Male,Black
0.02765943,55+,Female,Black
0.003988228,18-24,Male,Asian
0.003938426,18-24,Female,Asian
0.006753136,25-34,Male,Asian
0.006605591,25-34,Female,Asian
0.006615444,35-44,Male,Asian
0.006511434,35-44,Female,Asian
0.006044905,45-54,Male,Asian
0.005924991,45-54,Female,Asian
0.010798746,55+,Male,Asian
0.013838784,55+,Female,Asian
0.000999784,18-24,Male,American_Indian
0.000979355,18-24,Female,American_Indian
0.001387702,25-34,Male,American_Indian
0.001348207,25-34,Female,American_Indian
0.0012398,35-44,Male,American_Indian
0.001214489,35-44,Female,American_Indian
0.001108911,45-54,Male,American_Indian
0.001092068,45-54,Female,American_Indian
0.001999476,55+,Male,American_Indian
0.002268186,55+,Female,American_Indian
0.00017837,18-24,Male,Native_Hawaiian
0.000173933,18-24,Female,Native_Hawaiian
0.000283984,25-34,Male,Native_Hawaiian
0.000272754,25-34,Female,Native_Hawaiian
0.000272717,35-44,Male,Native_Hawaiian
0.000262764,35-44,Female,Native_Hawaiian
0.000244055,45-54,Male,Native_Hawaiian
0.000240043,45-54,Female,Native_Hawaiian
0.000426931,55+,Male,Native_Hawaiian
0.00047824,55+,Female,Native_Hawaiian
0.002627182,18-24,Male,Other
0.002585008,18-24,Female,Other
0.003006412,25-34,Male,Other
0.002945976,25-34,Female,Other
0.002788416,35-44,Male,Other
0.002765423,35-44,Female,Other
0.002422267,45-54,Male,Other
0.002419561,45-54,Female,Other
0.003977289,55+,Male,Other
0.004719938,55+,Female,Other
